Location,Year,Crime,Total cases
Spain,2021,Theft,9311
Spain,2021,Vehicle theft,498
Spain,2021,Drug trafficking,346
Spain,2021,Other criminal offenses,23066
Spain,2020,Intentional homicides and consummated murders,6
Spain,2020,Intentional homicides and attempted murders,17
Spain,2020,Serious and less serious crimes of injuries and riotous brawl,302
Spain,2020,Kidnapping,1
Spain,2020,Crimes against freedom and sexual indemnity,249
Spain,2020,Sexual assault with penetration,30
Spain,2020,Other crimes against freedom and sexual indemnity,218
Spain,2020,Robbery with violence and intimidation,854
Spain,2020,Burglaries with force in homes,388
Spain,2020,Robberies with force in homes,1366
Spain,2020,Theft,7942
Spain,2020,Vehicle theft,479
Spain,2020,Drug trafficking,323
Spain,2020,Other criminal offenses,21161
Spain,2019,Intentional homicides and consummated murders,6
Spain,2019,Intentional homicides and attempted murders,16
Spain,2019,Serious and less serious crimes of injuries and riotous brawl,377
Spain,2019,Kidnapping,2
Spain,2019,Crimes against freedom and sexual indemnity,289
Spain,2019,Sexual assault with penetration,35
Spain,2019,Other crimes against freedom and sexual indemnity,254
Spain,2019,Robbery with violence and intimidation,1249
Spain,2019,Burglaries with force in homes,2847
Spain,2019,Robberies with force in homes,1859
Spain,2019,Theft,13217
Spain,2019,Vehicle theft,665
Spain,2019,Drug trafficking,307
Spain,2019,Other criminal offenses,22723
Alicante,2019,Intentional homicides and consummated murders,14
Alicante,2019,Intentional homicides and attempted murders,35
Alicante,2019,Serious and less serious crimes of injuries and riotous brawl,766
Alicante,2019,Kidnapping,2
Alicante,2019,Crimes against freedom and sexual indemnity,677
Alicante,2019,Sexual assault with penetration,85
Alicante,2019,Other crimes against freedom and sexual indemnity,592
Alicante,2019,Robbery with violence and intimidation,1665
Alicante,2019,Burglaries with force in homes,9346
Alicante,2019,Robberies with force in homes,6893
Alicante,2019,Theft,26132
Alicante,2019,Vehicle theft,1364
Alicante,2019,Drug trafficking,774
Alicante,2019,Other criminal offenses,48178
Alicante,2020,Intentional homicides and consummated murders,18
Alicante,2020,Intentional homicides and attempted murders,27
Alicante,2020,Serious and less serious crimes of injuries and riotous brawl,640
Alicante,2020,Kidnapping,4
Alicante,2020,Crimes against freedom and sexual indemnity,573
Alicante,2020,Sexual assault with penetration,81
Alicante,2020,Other crimes against freedom and sexual indemnity,492
Alicante,2020,Robbery with violence and intimidation,1187
Alicante,2020,Burglaries with force in homes,620
Alicante,2020,Robberies with force in homes,5479
Alicante,2020,Theft,16192
Alicante,2020,Vehicle theft,996
Alicante,2020,Drug trafficking,816
Alicante,2020,Other criminal offenses,45607
Alicante,2021,Intentional homicides and consummated murders,10
Alicante,2021,Intentional homicides and attempted murders,48
Alicante,2021,Serious and less serious crimes of injuries and riotous brawl,878
Alicante,2021,Kidnapping,4
Alicante,2021,Crimes against freedom and sexual indemnity,838
Alicante,2021,Sexual assault with penetration,99
Alicante,2021,Other crimes against freedom and sexual indemnity,739
Alicante,2021,Robbery with violence and intimidation,1212
Alicante,2021,Burglaries with force in homes,6672
Alicante,2021,Robberies with force in homes,5282
Alicante,2021,Theft,18481
Alicante,2021,Vehicle theft,969
Alicante,2021,Drug trafficking,935
Alicante,2021,Other criminal offenses,49211
Cordoba,2019,Intentional homicides and consummated murders,7
Cordoba,2019,Intentional homicides and attempted murders,11
Cordoba,2019,Serious and less serious crimes of injuries and riotous brawl,203
Cordoba,2019,Kidnapping,2
Cordoba,2019,Crimes against freedom and sexual indemnity,205
Cordoba,2019,Sexual assault with penetration,21
Cordoba,2019,Other crimes against freedom and sexual indemnity,184
Cordoba,2019,Robbery with violence and intimidation,490
Cordoba,2019,Burglaries with force in homes,1731
Cordoba,2019,Robberies with force in homes,897
Cordoba,2019,Theft,6283
Cordoba,2019,Vehicle theft,288
Cordoba,2019,Drug trafficking,291
Cordoba,2019,Other criminal offenses,16004
Cordoba,2020,Intentional homicides and consummated murders,3
Cordoba,2020,Intentional homicides and attempted murders,21
Cordoba,2020,Serious and less serious crimes of injuries and riotous brawl,210
Cordoba,2020,Kidnapping,4
Cordoba,2020,Crimes against freedom and sexual indemnity,228
Cordoba,2020,Sexual assault with penetration,22
Cordoba,2020,Other crimes against freedom and sexual indemnity,206
Cordoba,2020,Robbery with violence and intimidation,286
Cordoba,2020,Burglaries with force in homes,168
Cordoba,2020,Robberies with force in homes,648
Cordoba,2020,Theft,4051
Cordoba,2020,Vehicle theft,208
Cordoba,2020,Drug trafficking,291
Cordoba,2020,Other criminal offenses,15592
Cordoba,2021,Intentional homicides and consummated murders,1
Cordoba,2021,Intentional homicides and attempted murders,16
Cordoba,2021,Serious and less serious crimes of injuries and riotous brawl,247
Cordoba,2021,Kidnapping,0
Cordoba,2021,Crimes against freedom and sexual indemnity,213
Cordoba,2021,Sexual assault with penetration,24
Cordoba,2021,Other crimes against freedom and sexual indemnity,189
Cordoba,2021,Robbery with violence and intimidation,273
Cordoba,2021,Burglaries with force in homes,1044
Cordoba,2021,Robberies with force in homes,736
Cordoba,2021,Theft,4505
Cordoba,2021,Vehicle theft,183
Cordoba,2021,Drug trafficking,184
Cordoba,2021,Other criminal offenses,16675
Granada,2019,Intentional homicides and consummated murders,12
Granada,2019,Intentional homicides and attempted murders,20
Granada,2019,Serious and less serious crimes of injuries and riotous brawl,330
Granada,2019,Kidnapping,2
Granada,2019,Crimes against freedom and sexual indemnity,240
Granada,2019,Sexual assault with penetration,32
Granada,2019,Other crimes against freedom and sexual indemnity,208
Granada,2019,Robbery with violence and intimidation,844
Granada,2019,Burglaries with force in homes,2389
Granada,2019,Robberies with force in homes,1604
Granada,2019,Theft,8034
Granada,2019,Vehicle theft,433
Granada,2019,Drug trafficking,644
Granada,2019,Other criminal offenses,20654
Granada,2020,Intentional homicides and consummated murders,10
Granada,2020,Intentional homicides and attempted murders,27
Granada,2020,Serious and less serious crimes of injuries and riotous brawl,300
Granada,2020,Kidnapping,0
Granada,2020,Crimes against freedom and sexual indemnity,208
Granada,2020,Sexual assault with penetration,25
Granada,2020,Other crimes against freedom and sexual indemnity,183
Granada,2020,Robbery with violence and intimidation,566
Granada,2020,Burglaries with force in homes,401
Granada,2020,Robberies with force in homes,1123
Granada,2020,Theft,4867
Granada,2020,Vehicle theft,321
Granada,2020,Drug trafficking,792
Granada,2020,Other criminal offenses,20017
Granada,2021,Intentional homicides and consummated murders,8
Granada,2021,Intentional homicides and attempted murders,20
Granada,2021,Serious and less serious crimes of injuries and riotous brawl,343
Granada,2021,Kidnapping,1
Granada,2021,Crimes against freedom and sexual indemnity,268
Granada,2021,Sexual assault with penetration,43
Granada,2021,Other crimes against freedom and sexual indemnity,225
Granada,2021,Robbery with violence and intimidation,611
Granada,2021,Burglaries with force in homes,1732
Granada,2021,Robberies with force in homes,1178
Granada,2021,Theft,5998
Granada,2021,Vehicle theft,270
Granada,2021,Drug trafficking,1007
Granada,2021,Other criminal offenses,21570
Rioja,2019,Intentional homicides and consummated murders,0
Rioja,2019,Intentional homicides and attempted murders,5
Rioja,2019,Serious and less serious crimes of injuries and riotous brawl,144
Rioja,2019,Kidnapping,0
Rioja,2019,Crimes against freedom and sexual indemnity,92
Rioja,2019,Sexual assault with penetration,9
Rioja,2019,Other crimes against freedom and sexual indemnity,83
Rioja,2019,Robbery with violence and intimidation,90
Rioja,2019,Burglaries with force in homes,604
Rioja,2019,Robberies with force in homes,437
Rioja,2019,Theft,2422
Rioja,2019,Vehicle theft,68
Rioja,2019,Drug trafficking,104
Rioja,2019,Other criminal offenses,5283
Rioja,2020,Intentional homicides and consummated murders,5
Rioja,2020,Intentional homicides and attempted murders,3
Rioja,2020,Serious and less serious crimes of injuries and riotous brawl,120
Rioja,2020,Kidnapping,0
Rioja,2020,Crimes against freedom and sexual indemnity,104
Rioja,2020,Sexual assault with penetration,10
Rioja,2020,Other crimes against freedom and sexual indemnity,94
Rioja,2020,Robbery with violence and intimidation,78
Rioja,2020,Burglaries with force in homes,440
Rioja,2020,Robberies with force in homes,352
Rioja,2020,Theft,1475
Rioja,2020,Vehicle theft,31
Rioja,2020,Drug trafficking,72
Rioja,2020,Other criminal offenses,5484
Rioja,2021,Intentional homicides and consummated murders,3
Rioja,2021,Intentional homicides and attempted murders,5
Rioja,2021,Serious and less serious crimes of injuries and riotous brawl,161
Rioja,2021,Kidnapping,0
Rioja,2021,Crimes against freedom and sexual indemnity,102
Rioja,2021,Sexual assault with penetration,9
Rioja,2021,Other crimes against freedom and sexual indemnity,93
Rioja,2021,Robbery with violence and intimidation,116
Rioja,2021,Burglaries with force in homes,455
Rioja,2021,Robberies with force in homes,397
Rioja,2021,Theft,1789
Rioja,2021,Vehicle theft,59
Rioja,2021,Drug trafficking,75
Rioja,2021,Other criminal offenses,6309
Salamanca,2019,Intentional homicides and consummated murders,0
Salamanca,2019,Intentional homicides and attempted murders,2
Salamanca,2019,Serious and less serious crimes of injuries and riotous brawl,86
Salamanca,2019,Kidnapping,1
Salamanca,2019,Crimes against freedom and sexual indemnity,65
Salamanca,2019,Sexual assault with penetration,6
Salamanca,2019,Other crimes against freedom and sexual indemnity,59
Salamanca,2019,Robbery with violence and intimidation,99
Salamanca,2019,Burglaries with force in homes,531
Salamanca,2019,Robberies with force in homes,361
Salamanca,2019,Theft,3269
Salamanca,2019,Vehicle theft,46
Salamanca,2019,Drug trafficking,62
Salamanca,2019,Other criminal offenses,5733
Salamanca,2020,Intentional homicides and consummated murders,2
Salamanca,2020,Intentional homicides and attempted murders,2
Salamanca,2020,Serious and less serious crimes of injuries and riotous brawl,64
Salamanca,2020,Kidnapping,0
Salamanca,2020,Crimes against freedom and sexual indemnity,53
Salamanca,2020,Sexual assault with penetration,9
Salamanca,2020,Other crimes against freedom and sexual indemnity,44
Salamanca,2020,Robbery with violence and intimidation,87
Salamanca,2020,Burglaries with force in homes,56
Salamanca,2020,Robberies with force in homes,221
Salamanca,2020,Theft,1826
Salamanca,2020,Vehicle theft,49
Salamanca,2020,Drug trafficking,78
Salamanca,2020,Other criminal offenses,6029
Salamanca,2021,Intentional homicides and consummated murders,1
Salamanca,2021,Intentional homicides and attempted murders,4
Salamanca,2021,Serious and less serious crimes of injuries and riotous brawl,80
Salamanca,2021,Kidnapping,0
Salamanca,2021,Crimes against freedom and sexual indemnity,78
Salamanca,2021,Sexual assault with penetration,11
Salamanca,2021,Other crimes against freedom and sexual indemnity,67
Salamanca,2021,Robbery with violence and intimidation,83
Salamanca,2021,Burglaries with force in homes,330
Salamanca,2021,Robberies with force in homes,265
Salamanca,2021,Theft,2303
Salamanca,2021,Vehicle theft,60
Salamanca,2021,Drug trafficking,61
Salamanca,2021,Other criminal offenses,6600
Segovia,2019,Intentional homicides and consummated murders,1
Segovia,2019,Intentional homicides and attempted murders,2
Segovia,2019,Serious and less serious crimes of injuries and riotous brawl,37
Segovia,2019,Kidnapping,0
Segovia,2019,Crimes against freedom and sexual indemnity,49
Segovia,2019,Sexual assault with penetration,3
Segovia,2019,Other crimes against freedom and sexual indemnity,46
Segovia,2019,Robbery with violence and intimidation,24
Segovia,2019,Burglaries with force in homes,381
Segovia,2019,Robberies with force in homes,195
Segovia,2019,Theft,877
Segovia,2019,Vehicle theft,20
Segovia,2019,Drug trafficking,43
Segovia,2019,Other criminal offenses,3022
Segovia,2020,Intentional homicides and consummated murders,8
Segovia,2020,Intentional homicides and attempted murders,18
Segovia,2020,Serious and less serious crimes of injuries and riotous brawl,426
Segovia,2020,Kidnapping,2
Segovia,2020,Crimes against freedom and sexual indemnity,315
Segovia,2020,Sexual assault with penetration,42
Segovia,2020,Other crimes against freedom and sexual indemnity,273
Segovia,2020,Robbery with violence and intimidation,495
Segovia,2020,Burglaries with force in homes,185
Segovia,2020,Robberies with force in homes,1208
Segovia,2020,Theft,7771
Segovia,2020,Vehicle theft,475
Segovia,2020,Drug trafficking,256
Segovia,2020,Other criminal offenses,24015
Segovia,2021,Intentional homicides and consummated murders,6
Segovia,2021,Intentional homicides and attempted murders,13
Segovia,2021,Serious and less serious crimes of injuries and riotous brawl,513
Segovia,2021,Kidnapping,0
Segovia,2021,Crimes against freedom and sexual indemnity,390
Segovia,2021,Sexual assault with penetration,39
Segovia,2021,Other crimes against freedom and sexual indemnity,351
Segovia,2021,Robbery with violence and intimidation,520
Segovia,2021,Burglaries with force in homes,1708
Segovia,2021,Robberies with force in homes,1261
Segovia,2021,Theft,7727
Segovia,2021,Vehicle theft,414
Segovia,2021,Drug trafficking,198
Segovia,2021,Other criminal offenses,23381
Ceuta,2019,Intentional homicides and consummated murders,4
Ceuta,2019,Intentional homicides and attempted murders,16
Ceuta,2019,Serious and less serious crimes of injuries and riotous brawl,44
Ceuta,2019,Kidnapping,2
Ceuta,2019,Crimes against freedom and sexual indemnity,23
Ceuta,2019,Sexual assault with penetration,1
Ceuta,2019,Other crimes against freedom and sexual indemnity,22
Ceuta,2019,Robbery with violence and intimidation,145
Ceuta,2019,Burglaries with force in homes,88
Ceuta,2019,Robberies with force in homes,42
Ceuta,2019,Theft,823
Ceuta,2019,Vehicle theft,168
Ceuta,2019,Drug trafficking,297
Ceuta,2019,Other criminal offenses,3179
Ceuta,2020,Intentional homicides and consummated murders,2
Ceuta,2020,Intentional homicides and attempted murders,5
Ceuta,2020,Serious and less serious crimes of injuries and riotous brawl,74
Ceuta,2020,Kidnapping,0
Ceuta,2020,Crimes against freedom and sexual indemnity,37
Ceuta,2020,Sexual assault with penetration,2
Ceuta,2020,Other crimes against freedom and sexual indemnity,35
Ceuta,2020,Robbery with violence and intimidation,128
Ceuta,2020,Burglaries with force in homes,59
Ceuta,2020,Robberies with force in homes,37
Ceuta,2020,Theft,471
Ceuta,2020,Vehicle theft,84
Ceuta,2020,Drug trafficking,220
Ceuta,2020,Other criminal offenses,2558
Ceuta,2021,Intentional homicides and consummated murders,2
Ceuta,2021,Intentional homicides and attempted murders,10
Ceuta,2021,Serious and less serious crimes of injuries and riotous brawl,73
Ceuta,2021,Kidnapping,3
Ceuta,2021,Crimes against freedom and sexual indemnity,47
Ceuta,2021,Sexual assault with penetration,4
